,Predictions,y_test
101,HUM:ind,ENTY:event
102,DESC:def,LOC:other
103,DESC:desc,DESC:desc
104,HUM:ind,ENTY:animal
105,DESC:def,DESC:def
106,HUM:ind,ENTY:other
107,DESC:desc,ENTY:animal
108,DESC:manner,DESC:manner
109,LOC:other,LOC:other
110,ENTY:other,ENTY:sport
111,ENTY:food,ENTY:food
112,NUM:volsize,NUM:volsize
113,NUM:count,NUM:count
114,NUM:period,NUM:period
115,ENTY:sport,NUM:count
116,ENTY:cremat,ENTY:cremat
117,HUM:ind,HUM:ind
118,LOC:city,LOC:city
119,ENTY:sport,HUM:ind
120,DESC:def,NUM:period
121,LOC:other,LOC:other
122,HUM:gr,ENTY:other
123,ENTY:food,ENTY:food
124,DESC:def,DESC:def
125,DESC:manner,DESC:manner
126,LOC:other,ENTY:event
127,HUM:ind,HUM:ind
128,NUM:count,NUM:count
129,HUM:ind,HUM:ind
130,DESC:desc,ENTY:techmeth
131,NUM:date,NUM:date
132,HUM:gr,HUM:gr
133,DESC:manner,DESC:manner
134,DESC:def,DESC:def
135,ENTY:word,ENTY:word
136,NUM:dist,NUM:dist
137,HUM:ind,HUM:ind
138,ENTY:dismed,ENTY:dismed
139,HUM:ind,HUM:ind
140,ABBR:exp,ABBR:exp
141,NUM:dist,NUM:dist
142,HUM:ind,HUM:ind
143,HUM:ind,ENTY:event
144,DESC:desc,DESC:desc
145,NUM:date,NUM:date
146,DESC:def,DESC:def
147,NUM:other,NUM:perc
148,LOC:city,LOC:city
149,LOC:other,ENTY:veh
150,HUM:ind,HUM:gr
151,ENTY:other,ENTY:other
152,DESC:def,ABBR:exp
153,DESC:desc,DESC:def
154,DESC:desc,DESC:desc
155,LOC:country,LOC:country
156,ENTY:dismed,ENTY:dismed
157,NUM:count,NUM:count
158,NUM:count,NUM:count
159,LOC:other,LOC:other
160,DESC:desc,NUM:perc
161,DESC:def,DESC:def
162,ENTY:other,HUM:ind
163,LOC:other,LOC:other
164,HUM:ind,HUM:ind
165,NUM:date,NUM:date
166,DESC:manner,DESC:manner
167,ENTY:cremat,ENTY:cremat
168,NUM:period,NUM:period
169,NUM:count,NUM:count
170,ENTY:cremat,ENTY:cremat
171,LOC:other,LOC:other
172,NUM:count,NUM:count
173,LOC:country,LOC:country
174,LOC:other,LOC:other
175,LOC:other,LOC:other
176,HUM:ind,HUM:ind
177,NUM:count,NUM:count
178,DESC:reason,DESC:reason
179,DESC:desc,DESC:desc
180,DESC:def,ABBR:exp
181,DESC:manner,DESC:manner
182,DESC:def,DESC:def
183,NUM:date,NUM:date
184,HUM:gr,ENTY:termeq
185,ENTY:color,ENTY:color
186,LOC:country,LOC:country
187,NUM:period,NUM:period
188,ENTY:dismed,ENTY:dismed
189,LOC:other,ENTY:termeq
190,NUM:date,NUM:date
191,NUM:count,NUM:count
192,NUM:date,NUM:date
193,HUM:ind,ENTY:product
194,HUM:title,HUM:title
195,ENTY:currency,ENTY:currency
196,ENTY:other,NUM:dist
197,NUM:period,NUM:dist
198,LOC:other,LOC:other
199,HUM:ind,HUM:ind
200,DESC:manner,DESC:manner
201,ENTY:product,ENTY:product
202,DESC:def,ENTY:other
203,HUM:ind,HUM:ind
204,LOC:country,LOC:country
205,HUM:ind,HUM:ind
206,LOC:mount,ENTY:sport
207,HUM:ind,NUM:count
208,HUM:gr,HUM:gr
209,HUM:ind,HUM:ind
210,DESC:manner,DESC:manner
211,ABBR:exp,DESC:def
212,HUM:ind,HUM:ind
213,ENTY:other,ENTY:instru
214,DESC:manner,DESC:manner
215,NUM:money,NUM:money
216,HUM:ind,HUM:ind
217,LOC:other,LOC:other
218,LOC:state,LOC:state
219,LOC:country,LOC:country
220,LOC:state,LOC:state
221,LOC:other,LOC:other
222,NUM:money,ENTY:other
223,DESC:def,DESC:def
224,HUM:ind,HUM:ind
225,HUM:ind,HUM:ind
226,HUM:ind,HUM:ind
227,NUM:count,NUM:count
228,HUM:ind,HUM:desc
229,DESC:def,DESC:def
230,DESC:reason,DESC:reason
231,DESC:desc,DESC:desc
232,NUM:date,NUM:date
233,HUM:gr,HUM:gr
234,DESC:def,DESC:def
235,ENTY:substance,ENTY:substance
236,ENTY:symbol,ENTY:symbol
237,ENTY:other,LOC:other
238,DESC:desc,DESC:desc
239,LOC:other,LOC:other
240,ENTY:cremat,ENTY:cremat
241,LOC:country,LOC:country
242,ENTY:animal,ENTY:animal
243,HUM:ind,HUM:ind
244,ENTY:cremat,ENTY:animal
245,LOC:state,LOC:state
246,HUM:ind,HUM:ind
247,ENTY:animal,ENTY:animal
248,DESC:def,DESC:def
249,LOC:other,LOC:other
250,DESC:manner,DESC:manner
251,DESC:manner,DESC:manner
252,HUM:ind,HUM:ind
253,HUM:ind,HUM:gr
254,NUM:count,NUM:count
255,LOC:country,LOC:country
256,NUM:period,NUM:period
257,DESC:def,DESC:def
258,NUM:money,NUM:money
259,HUM:ind,HUM:ind
260,ENTY:food,ENTY:other
261,ENTY:sport,ENTY:sport
262,HUM:ind,HUM:ind
263,DESC:def,DESC:def
264,NUM:count,NUM:count
265,DESC:reason,DESC:reason
266,ENTY:substance,ENTY:substance
267,ENTY:instru,ENTY:instru
268,ENTY:other,HUM:ind
269,DESC:def,DESC:def
270,HUM:ind,HUM:ind
271,HUM:ind,ENTY:termeq
272,DESC:reason,DESC:reason
273,DESC:manner,DESC:manner
274,ENTY:product,ENTY:product
275,ENTY:other,ENTY:cremat
276,DESC:def,DESC:def
277,NUM:count,NUM:count
278,HUM:ind,HUM:ind
279,HUM:ind,HUM:ind
280,DESC:manner,DESC:manner
281,HUM:ind,HUM:ind
282,NUM:count,NUM:count
283,LOC:country,LOC:country
284,DESC:def,DESC:def
285,ENTY:other,ENTY:termeq
286,DESC:desc,DESC:desc
287,ENTY:cremat,ENTY:cremat
288,NUM:date,NUM:date
289,HUM:ind,HUM:ind
290,NUM:period,NUM:period
291,ENTY:substance,ENTY:substance
292,NUM:count,NUM:count
293,DESC:def,DESC:def
294,LOC:city,LOC:city
295,DESC:manner,DESC:manner
296,DESC:desc,ENTY:other
297,ENTY:other,ENTY:veh
298,DESC:def,DESC:def
299,DESC:manner,NUM:other
300,NUM:other,NUM:other
301,LOC:other,LOC:other
302,ENTY:sport,ENTY:sport
303,ENTY:dismed,ENTY:dismed
304,ENTY:sport,ENTY:sport
305,ENTY:sport,HUM:ind
306,LOC:other,ENTY:other
307,LOC:state,LOC:state
308,DESC:def,DESC:def
309,HUM:title,HUM:title
310,DESC:reason,ENTY:food
311,NUM:date,NUM:date
312,ENTY:other,ENTY:product
313,LOC:mount,LOC:mount
314,ENTY:other,ENTY:other
315,NUM:count,NUM:count
316,DESC:manner,DESC:manner
317,ENTY:cremat,ENTY:cremat
318,ENTY:lang,ENTY:lang
319,DESC:desc,LOC:other
320,ENTY:animal,ENTY:techmeth
321,DESC:desc,DESC:desc
322,HUM:ind,HUM:ind
323,LOC:country,LOC:country
324,ENTY:cremat,ENTY:cremat
325,DESC:desc,DESC:desc
326,HUM:ind,HUM:ind
327,HUM:ind,HUM:ind
328,DESC:def,DESC:def
329,NUM:count,NUM:count
330,HUM:ind,HUM:ind
331,NUM:money,NUM:money
332,LOC:country,LOC:country
333,NUM:count,NUM:count
334,NUM:volsize,NUM:volsize
335,ENTY:sport,ENTY:sport
336,DESC:manner,DESC:manner
337,LOC:other,LOC:other
338,NUM:volsize,NUM:volsize
339,NUM:date,NUM:date
340,DESC:def,DESC:def
341,NUM:money,NUM:money
342,NUM:count,NUM:count
343,NUM:date,NUM:date
344,DESC:reason,HUM:gr
345,DESC:def,NUM:temp
346,LOC:city,LOC:city
347,DESC:desc,DESC:desc
348,ENTY:color,ENTY:color
349,DESC:def,ENTY:termeq
350,DESC:desc,DESC:desc
351,LOC:other,LOC:other
352,HUM:ind,HUM:ind
353,HUM:ind,NUM:other
354,DESC:desc,ENTY:event
355,HUM:ind,HUM:ind
356,HUM:ind,HUM:ind
357,HUM:ind,LOC:other
358,DESC:manner,DESC:manner
359,NUM:period,NUM:period
360,NUM:date,NUM:date
361,NUM:date,NUM:date
362,HUM:ind,ENTY:cremat
363,HUM:ind,HUM:ind
364,ENTY:cremat,ENTY:cremat
365,NUM:count,NUM:count
366,NUM:volsize,NUM:volsize
367,DESC:def,DESC:desc
368,ENTY:sport,LOC:other
369,ABBR:exp,DESC:def
370,NUM:date,ABBR:exp
371,NUM:money,NUM:money
372,NUM:period,NUM:period
373,LOC:other,LOC:other
374,LOC:other,LOC:other
375,ENTY:substance,ENTY:food
376,DESC:reason,DESC:reason
377,HUM:ind,HUM:ind
378,NUM:period,NUM:period
379,HUM:ind,HUM:ind
380,DESC:def,DESC:def
381,HUM:ind,HUM:ind
382,ABBR:exp,ABBR:exp
383,HUM:ind,HUM:ind
384,HUM:gr,HUM:gr
385,NUM:volsize,NUM:volsize
386,DESC:manner,DESC:manner
387,LOC:other,LOC:other
388,ENTY:food,ENTY:food
389,NUM:count,NUM:count
390,LOC:other,LOC:other
391,ENTY:event,ENTY:event
392,HUM:ind,HUM:ind
393,DESC:def,DESC:desc
394,LOC:country,LOC:country
395,ENTY:termeq,HUM:title
396,LOC:other,NUM:other
397,DESC:def,DESC:def
398,ENTY:cremat,ENTY:cremat
399,NUM:period,NUM:period
400,ENTY:food,DESC:def
401,DESC:manner,DESC:manner
402,NUM:money,NUM:money
403,LOC:other,DESC:def
404,HUM:ind,ENTY:other
405,ENTY:cremat,ENTY:cremat
406,ENTY:food,NUM:count
407,ENTY:animal,DESC:def
408,HUM:ind,ENTY:cremat
409,ENTY:color,ENTY:color
410,ENTY:other,ENTY:other
411,ENTY:food,ENTY:substance
412,DESC:def,ENTY:food
413,DESC:desc,DESC:desc
414,NUM:date,NUM:date
415,ENTY:techmeth,LOC:other
416,NUM:date,NUM:date
417,DESC:manner,DESC:manner
418,DESC:reason,DESC:reason
419,LOC:other,LOC:mount
420,ENTY:dismed,ENTY:dismed
421,DESC:def,ENTY:food
422,HUM:ind,HUM:ind
423,ENTY:other,ENTY:other
424,NUM:count,NUM:count
425,DESC:def,HUM:gr
426,NUM:date,NUM:date
427,DESC:def,DESC:def
428,DESC:def,DESC:def
429,ENTY:cremat,ENTY:cremat
430,LOC:country,LOC:country
431,LOC:mount,ENTY:sport
432,DESC:desc,DESC:desc
433,DESC:manner,DESC:manner
434,LOC:state,LOC:state
435,LOC:city,LOC:city
436,LOC:other,LOC:other
437,DESC:def,DESC:def
438,NUM:money,NUM:other
439,HUM:ind,HUM:ind
440,HUM:gr,LOC:other
441,DESC:desc,DESC:desc
442,HUM:ind,ENTY:animal
443,DESC:desc,DESC:desc
444,NUM:date,NUM:date
445,DESC:reason,DESC:reason
446,HUM:ind,NUM:perc
447,LOC:other,NUM:speed
448,HUM:ind,HUM:ind
449,LOC:other,LOC:other
450,HUM:ind,ENTY:animal
451,DESC:def,NUM:date
452,ENTY:other,HUM:gr
453,NUM:count,NUM:count
454,NUM:date,NUM:date
455,HUM:gr,ENTY:animal
456,ENTY:cremat,ENTY:cremat
457,LOC:other,LOC:other
458,DESC:manner,DESC:manner
459,DESC:reason,DESC:reason
460,LOC:other,LOC:other
461,NUM:count,NUM:count
462,DESC:reason,DESC:reason
463,HUM:gr,HUM:gr
464,NUM:date,NUM:date
465,LOC:other,NUM:date
466,HUM:ind,HUM:ind
467,HUM:ind,ENTY:cremat
468,HUM:ind,HUM:ind
469,LOC:other,LOC:other
470,LOC:country,LOC:country
471,ABBR:exp,ABBR:abb
472,NUM:count,NUM:count
473,ENTY:food,ENTY:food
474,DESC:desc,ENTY:other
475,DESC:manner,DESC:manner
476,DESC:desc,LOC:other
477,HUM:ind,ENTY:other
478,NUM:count,NUM:count
479,HUM:gr,DESC:desc
480,LOC:country,HUM:ind
481,DESC:manner,DESC:manner
482,HUM:gr,HUM:gr
483,HUM:gr,ENTY:animal
484,LOC:country,LOC:country
485,DESC:def,DESC:desc
486,HUM:ind,HUM:ind
487,DESC:desc,LOC:other
488,NUM:count,NUM:count
489,LOC:country,LOC:country
490,DESC:desc,DESC:def
491,LOC:state,ENTY:veh
492,ENTY:dismed,ENTY:dismed
493,ENTY:other,LOC:other
494,HUM:ind,HUM:ind
495,ENTY:event,ENTY:event
496,HUM:ind,HUM:ind
497,DESC:manner,DESC:manner
498,ENTY:food,ENTY:food
499,LOC:country,LOC:country
500,ENTY:cremat,ENTY:cremat
501,DESC:desc,DESC:desc
502,ENTY:other,ENTY:other
503,ENTY:other,ENTY:other
504,HUM:ind,HUM:ind
505,NUM:other,ENTY:substance
506,NUM:date,NUM:date
507,DESC:reason,DESC:reason
508,NUM:temp,ENTY:other
509,NUM:period,NUM:period
510,HUM:ind,DESC:desc
511,HUM:ind,HUM:ind
512,NUM:count,NUM:count
513,HUM:ind,ENTY:food
514,ENTY:termeq,DESC:manner
515,DESC:manner,DESC:manner
516,NUM:money,NUM:money
517,LOC:state,DESC:reason
518,DESC:manner,DESC:manner
519,DESC:manner,DESC:manner
520,HUM:title,HUM:title
521,ENTY:cremat,HUM:gr
522,NUM:date,NUM:date
523,DESC:def,DESC:def
524,NUM:other,NUM:other
525,HUM:ind,ENTY:other
526,DESC:manner,DESC:manner
527,DESC:def,DESC:def
528,ENTY:cremat,ENTY:cremat
529,HUM:ind,HUM:ind
530,DESC:manner,DESC:manner
531,HUM:ind,HUM:ind
532,ENTY:dismed,ENTY:dismed
533,DESC:desc,DESC:desc
534,ENTY:other,HUM:gr
535,ENTY:other,ENTY:other
536,NUM:period,ENTY:event
537,HUM:ind,HUM:ind
538,DESC:desc,DESC:desc
539,LOC:other,LOC:other
540,LOC:other,ENTY:product
541,NUM:money,NUM:money
542,LOC:country,LOC:country
543,DESC:def,DESC:def
544,NUM:period,NUM:period
545,DESC:def,DESC:def
546,NUM:perc,NUM:count
547,NUM:date,NUM:date
548,HUM:ind,ENTY:termeq
549,HUM:ind,HUM:ind
550,DESC:desc,HUM:gr
551,ENTY:animal,DESC:reason
552,DESC:manner,ENTY:dismed
553,ENTY:product,ABBR:exp
554,ENTY:other,DESC:reason
555,NUM:count,NUM:count
556,ENTY:cremat,ENTY:other
557,DESC:def,DESC:def
558,ENTY:animal,ENTY:animal
559,LOC:city,LOC:city
560,LOC:other,LOC:other
561,DESC:desc,DESC:desc
562,ENTY:cremat,DESC:desc
563,ENTY:termeq,ENTY:dismed
564,LOC:other,LOC:other
565,DESC:def,DESC:def
566,HUM:ind,HUM:ind
567,DESC:desc,DESC:desc
568,DESC:def,DESC:def
569,DESC:manner,DESC:manner
570,LOC:country,LOC:country
571,ENTY:cremat,NUM:count
572,HUM:ind,HUM:gr
573,DESC:manner,DESC:manner
574,HUM:gr,HUM:gr
575,LOC:state,LOC:state
576,HUM:ind,HUM:ind
577,HUM:ind,HUM:ind
578,NUM:count,NUM:count
579,HUM:ind,HUM:ind
580,LOC:city,NUM:count
581,DESC:reason,DESC:reason
582,LOC:city,LOC:city
583,HUM:ind,HUM:ind
584,HUM:ind,HUM:ind
585,NUM:count,NUM:count
586,HUM:ind,HUM:ind
587,ABBR:exp,ABBR:exp
588,HUM:ind,HUM:ind
589,HUM:ind,HUM:ind
590,LOC:country,LOC:country
591,LOC:other,LOC:other
592,HUM:ind,HUM:ind
593,DESC:manner,DESC:manner
594,DESC:def,ENTY:symbol
595,LOC:other,LOC:other
596,DESC:desc,DESC:desc
597,DESC:desc,DESC:desc
598,ENTY:animal,ENTY:techmeth
599,ENTY:food,ENTY:food
600,LOC:other,LOC:other
601,ENTY:food,ENTY:cremat
602,LOC:other,ENTY:sport
603,DESC:desc,NUM:date
604,HUM:ind,HUM:gr
605,HUM:gr,HUM:gr
606,ENTY:cremat,HUM:ind
607,NUM:date,NUM:date
608,HUM:ind,HUM:ind
609,ENTY:color,ENTY:color
610,HUM:ind,HUM:ind
611,HUM:ind,HUM:ind
612,HUM:gr,ENTY:other
613,ENTY:food,ENTY:food
614,HUM:ind,HUM:ind
615,HUM:ind,HUM:ind
616,DESC:def,DESC:def
617,DESC:desc,HUM:ind
618,HUM:ind,HUM:ind
619,DESC:desc,ENTY:other
620,DESC:desc,DESC:desc
621,ENTY:substance,ENTY:dismed
622,DESC:def,DESC:def
623,NUM:count,NUM:count
624,DESC:manner,DESC:def
625,ENTY:cremat,ENTY:cremat
626,ENTY:animal,ENTY:animal
627,ENTY:termeq,ENTY:termeq
628,DESC:reason,DESC:reason
629,HUM:ind,DESC:reason
630,DESC:desc,DESC:desc
631,HUM:ind,ENTY:other
632,ENTY:cremat,ENTY:cremat
633,DESC:def,DESC:def
634,HUM:ind,ENTY:other
635,HUM:ind,HUM:desc
636,HUM:ind,HUM:ind
637,ENTY:dismed,ENTY:dismed
638,NUM:count,NUM:count
639,ENTY:substance,ENTY:substance
640,HUM:ind,HUM:ind
641,HUM:ind,HUM:ind
642,LOC:other,DESC:desc
643,DESC:desc,DESC:desc
644,DESC:manner,DESC:manner
645,HUM:ind,HUM:ind
646,NUM:period,NUM:period
647,ENTY:other,ENTY:animal
648,ENTY:cremat,ENTY:cremat
649,HUM:ind,HUM:ind
650,DESC:def,DESC:def
651,LOC:other,LOC:state
652,NUM:count,NUM:count
653,NUM:date,NUM:date
654,HUM:ind,ENTY:other
655,DESC:manner,DESC:manner
656,HUM:ind,NUM:other
657,LOC:other,LOC:other
658,HUM:ind,HUM:ind
659,HUM:ind,HUM:desc
660,HUM:ind,HUM:gr
661,HUM:ind,DESC:desc
662,HUM:ind,HUM:ind
663,HUM:ind,HUM:ind
664,ENTY:cremat,HUM:ind
665,ENTY:other,ENTY:other
666,NUM:count,NUM:count
667,HUM:ind,HUM:ind
668,NUM:count,NUM:count
669,ENTY:other,HUM:gr
670,HUM:ind,HUM:ind
671,NUM:other,NUM:other
672,NUM:date,NUM:date
673,ENTY:termeq,ENTY:animal
674,ENTY:substance,ENTY:substance
675,HUM:ind,HUM:ind
676,LOC:country,LOC:country
677,HUM:gr,HUM:gr
678,HUM:ind,HUM:ind
679,DESC:def,DESC:def
680,NUM:count,NUM:count
681,HUM:ind,ENTY:cremat
682,ENTY:substance,ENTY:animal
683,ENTY:cremat,ENTY:other
684,ENTY:color,DESC:def
685,DESC:manner,DESC:manner
686,HUM:ind,HUM:ind
687,ENTY:other,ENTY:other
688,LOC:city,LOC:city
689,DESC:def,DESC:def
690,HUM:ind,HUM:ind
691,HUM:desc,HUM:ind
692,HUM:gr,HUM:gr
693,ENTY:other,ENTY:cremat
694,ENTY:other,HUM:ind
695,HUM:ind,HUM:ind
696,ABBR:abb,ABBR:abb
697,ENTY:food,ENTY:other
698,HUM:ind,ENTY:event
699,ENTY:cremat,ENTY:cremat
700,ENTY:animal,HUM:title
701,DESC:def,DESC:def
702,DESC:def,DESC:def
703,HUM:ind,HUM:ind
704,DESC:desc,DESC:desc
705,NUM:money,NUM:money
706,ENTY:event,ENTY:event
707,HUM:ind,HUM:ind
708,HUM:ind,HUM:ind
709,DESC:manner,DESC:manner
710,LOC:other,LOC:other
711,HUM:ind,ENTY:cremat
712,NUM:count,NUM:count
713,DESC:def,DESC:def
714,ENTY:food,ENTY:food
715,DESC:def,ENTY:dismed
716,NUM:period,NUM:period
717,DESC:def,DESC:def
718,HUM:ind,HUM:ind
719,LOC:other,LOC:other
720,DESC:def,DESC:def
721,ENTY:other,ENTY:body
722,NUM:period,NUM:period
723,ENTY:word,ENTY:other
724,ENTY:dismed,ENTY:dismed
725,LOC:country,LOC:country
726,DESC:desc,DESC:def
727,HUM:ind,HUM:ind
728,DESC:def,DESC:def
729,DESC:def,ENTY:other
730,DESC:manner,DESC:manner
731,HUM:ind,HUM:gr
732,DESC:def,ENTY:termeq
733,HUM:ind,HUM:ind
734,ABBR:exp,ABBR:exp
735,NUM:count,NUM:count
736,HUM:ind,LOC:other
737,DESC:reason,DESC:reason
738,DESC:reason,DESC:def
739,DESC:def,ENTY:techmeth
740,DESC:manner,DESC:manner
741,DESC:def,ENTY:other
742,DESC:def,ENTY:cremat
743,NUM:date,NUM:date
744,DESC:def,ENTY:food
745,LOC:other,LOC:other
746,LOC:other,LOC:other
747,ABBR:exp,ABBR:exp
748,ENTY:other,ENTY:substance
749,HUM:ind,HUM:ind
750,DESC:def,ENTY:food
751,NUM:date,NUM:date
752,HUM:ind,HUM:ind
753,HUM:ind,HUM:ind
754,ENTY:dismed,LOC:other
755,DESC:def,ENTY:other
756,HUM:ind,HUM:ind
757,LOC:mount,LOC:mount
758,ENTY:event,ENTY:event
759,HUM:ind,HUM:ind
760,LOC:other,LOC:other
761,DESC:def,DESC:def
762,HUM:ind,HUM:desc
763,HUM:ind,HUM:ind
764,HUM:gr,HUM:gr
765,LOC:city,LOC:city
766,ENTY:food,ENTY:food
767,DESC:def,LOC:other
768,LOC:state,LOC:state
769,DESC:desc,DESC:desc
770,HUM:ind,HUM:ind
771,DESC:desc,DESC:desc
772,DESC:def,DESC:def
773,LOC:city,LOC:city
774,HUM:ind,HUM:ind
775,HUM:ind,HUM:ind
776,ENTY:food,ENTY:other
777,ENTY:cremat,ENTY:cremat
778,HUM:ind,HUM:ind
779,NUM:count,NUM:count
780,LOC:other,LOC:other
781,LOC:state,LOC:state
782,DESC:manner,DESC:manner
783,ENTY:letter,ENTY:letter
784,DESC:def,DESC:def
785,LOC:other,LOC:other
786,NUM:count,NUM:count
787,DESC:desc,DESC:desc
788,HUM:ind,HUM:ind
789,ENTY:color,ENTY:color
790,DESC:reason,ENTY:other
791,ENTY:cremat,ENTY:cremat
792,HUM:ind,HUM:ind
793,DESC:manner,DESC:manner
794,DESC:def,DESC:def
795,ENTY:cremat,ENTY:cremat
796,ENTY:termeq,ENTY:termeq
797,HUM:ind,HUM:ind
798,NUM:period,NUM:period
799,NUM:period,NUM:period
800,ENTY:termeq,ENTY:techmeth
801,ENTY:cremat,ENTY:cremat
802,DESC:manner,DESC:manner
803,ENTY:termeq,DESC:desc
804,DESC:desc,ENTY:food
805,LOC:other,LOC:other
806,DESC:manner,DESC:manner
807,ENTY:veh,ENTY:event
808,HUM:gr,LOC:other
809,DESC:desc,ENTY:event
810,DESC:desc,ENTY:event
811,LOC:other,LOC:other
812,NUM:period,NUM:period
813,HUM:desc,HUM:desc
814,DESC:manner,DESC:manner
815,DESC:manner,DESC:manner
816,LOC:other,LOC:other
817,DESC:desc,ENTY:other
818,LOC:other,HUM:gr
819,HUM:ind,HUM:ind
820,LOC:state,LOC:state
821,HUM:ind,ENTY:veh
822,HUM:ind,HUM:ind
823,HUM:ind,HUM:ind
824,LOC:other,LOC:other
825,NUM:date,NUM:date
826,ENTY:cremat,ENTY:cremat
827,HUM:ind,HUM:ind
828,ENTY:food,ENTY:food
829,LOC:city,LOC:city
830,DESC:reason,DESC:reason
831,HUM:ind,HUM:ind
832,ENTY:food,ENTY:food
833,NUM:count,NUM:count
834,ENTY:color,ENTY:color
835,NUM:date,ENTY:other
836,NUM:count,NUM:count
837,ABBR:exp,ABBR:exp
838,HUM:ind,HUM:ind
839,ENTY:other,ENTY:food
840,NUM:count,NUM:count
841,HUM:ind,HUM:ind
842,ENTY:termeq,ENTY:food
843,ENTY:techmeth,ENTY:techmeth
844,HUM:ind,HUM:ind
845,HUM:ind,ENTY:cremat
846,ENTY:other,ENTY:other
847,HUM:ind,HUM:ind
848,HUM:ind,HUM:ind
849,NUM:date,NUM:date
850,NUM:date,NUM:date
851,DESC:def,DESC:def
852,DESC:manner,DESC:manner
853,HUM:ind,ENTY:cremat
854,ENTY:other,DESC:desc
855,DESC:def,NUM:date
856,ENTY:other,LOC:other
857,DESC:desc,ENTY:termeq
858,DESC:desc,LOC:other
859,ENTY:other,HUM:gr
860,NUM:count,NUM:count
861,HUM:ind,HUM:ind
862,NUM:perc,NUM:perc
863,ENTY:cremat,ENTY:cremat
864,NUM:count,NUM:count
865,ENTY:food,ENTY:dismed
866,NUM:count,NUM:count
867,ENTY:cremat,ENTY:cremat
868,ENTY:dismed,ENTY:dismed
869,DESC:def,ABBR:exp
870,DESC:reason,DESC:reason
871,LOC:other,LOC:country
872,LOC:other,LOC:other
873,ENTY:other,ENTY:other
874,HUM:ind,HUM:ind
875,ENTY:color,ENTY:color
876,HUM:ind,HUM:ind
877,HUM:ind,HUM:ind
878,HUM:gr,HUM:gr
879,HUM:ind,HUM:ind
880,DESC:def,DESC:def
881,HUM:ind,HUM:ind
882,LOC:other,LOC:other
883,LOC:city,ENTY:product
884,HUM:ind,HUM:ind
885,LOC:other,ENTY:other
886,DESC:def,DESC:def
887,DESC:def,DESC:def
888,HUM:ind,HUM:ind
889,HUM:gr,ENTY:cremat
890,NUM:count,NUM:count
